PROFILE_SEARCH_CONTACT_TITLE	Chercher un contact :
PROFILE_SEARCH_CONTACT_NAME	Nom:
PROFILE_CHANGE_SETTINGS	Changer le profil
PROFILE_NAME	Nom
PROFILE_LANGUAGE	Langage
PROFILE_LEVEL	Niveau
PROFILE_GUILD	Nom de guilde
PROFILE_STATUS	Statut
PROFILE_BIRTHDAY	Date de naissance
PROFILE_LOCATION	Emplacement
PROFILE_CHANGE_STATUS	Changer le statut (Clic)
ACCEPT	OK
ACCE_ABSORB	Bonus Absorption
ACCE_COMBINE	Combinaison
ACCE_MAIN	Etole 1
ACCE_RESULT	Resultat
ACCE_SERVE	Etole 2
ATTACH_METIN_INFO	Veux-tu utiliser la pierre d'esprit ?
ATTACH_METIN_TITLE	Utiliser la pierre d'esprit
ATTENDANCE_TITLE	Boss d'event Faucheuse
ATTR_67_ADD	Ajouter un bonus
ATTR_67_ADD_TITLE	Ajouter un bonus
ATTR_67_MATERIAL_SLOT_TITLE	Fragments
ATTR_67_REGIST_SLOT_TITLE	Objet cible
ATTR_67_SUPPORT_SLOT_TITLE	Additif
AURA_MAIN	Tenue d'aura
AURA_SUB	Materiel
AUTO_AUTO_ATTACK	Attaque
AUTO_AUTO_POSITION	Potions
AUTO_AUTO_RANGE	Focus
AUTO_AUTO_SKILL	Sorts
AUTO_CLEAR	Reinitialiser
AUTO_END	Arret
AUTO_OFF	Desactiver
AUTO_ON	Activer
AUTO_POSITION_SETTING	Potions
AUTO_SAVE	Sauvegarder
AUTO_SETTING	Options
AUTO_SKILL_SETTING	Sorts
AUTO_START	Commencer
AUTO_TITLE	Chasse Automatique
BANNER_ATTENDANCE_BUTTON	Boss event Faucheuse
BANNER_CATCHKING_BUTTON	Attraper le Roi
BANNER_EASTER_BUTTON	Paques
BANNER_FISH_BUTTON	Puzzle du poisson
BANNER_FLOWER_BUTTON	Puissance des fleurs
BANNER_FOOTBall_BUTTON	Football
BANNER_HallOWEEN_BUTTON	Halloween
BANNER_LUCKY_EVENT	Chasse aux monstres
BANNER_MINIBOSS_BUTTON	Apocalypse du zodiac
BANNER_MINI_GAME_FINDM	Memo tri-monstres
BANNER_MONSTERBACK_BUTTON	Recuperer des HP
BANNER_MYSTERY_BOX_BUTTON	Event drop I
BANNER_MYSTERY_BOX_BUTTON_2	Event drop II
BANNER_NEW_XMAS_BUTTON	Noel
BANNER_OKEY_BUTTON	Evenement Okey
BANNER_OLYMPIC_BUTTON	Event Hero
BANNER_RAMADAN_BUTTON	Ramadan
BANNER_SOUL_BUTTON	Evenement d'ame
BANNER_SUMMER_BUTTON	Evenement d'ete
BANNER_VALENTINE_BUTTON	Saint-Valentin
BANNER_YUTNORI_BUTTON	Yut Nori
BATTLE_FIELD_INFO	Zone de combat
BATTLE_FIELD_OPERATION_TIME	La zone de combat peut etre penetree entre%s:00 et %s:00.
BATTLE_FIELD_OPERATION_TIME_all	Actuellement ouvert.
BATTLE_FIELD_OPERATION_TIME_END	La zone de combat est encore ouverte pour%s heures.
BATTLE_FIELD_OPERATION_TIME_NA	Actuellement ferme.
BATTLE_FIELD_OPERATION_TIME_OPEN	Ouvert dans%s hours pour %s heures.
BATTLE_FILED_RANK	Rang
BATTLE_FILED_RANK_EMPIRE	Royaume
BATTLE_FILED_RANK_NAME	Nom
BATTLE_FILED_RANK_POINT	Points
CANCEL	Annuler
CHANGE_ATTR_SELECT	Changer les bonus
CHANGE_PASSWORD_CONFIRM	Confirmer le nouveau mot de passe
CHANGE_PASSWORD_NEW	Nouveau mot de passe
CHANGE_PASSWORD_OLD	Ancien mot de passe
CHANGE_PASSWORD_TITLE	Changement de mot de passe
CHARACTER_ACTION	Emotion
CHARACTER_EMOTICON	Emotion
CHARACTER_MAIN	Personnage
CHARACTER_MUTUAL_ACTION	Emotion mutuelle
CHARACTER_NORMAL_ACTION	Emotions normales
CHARACTER_QUEST	Missions
CHARACTER_SKILL	Sorts
CHARACTER_SPECTIAL_ACTION	Actions speciales
CHAT_FILTER	Filtre de messagerie
CHAT_FILTER_DICE	Des
CLOSE	Fermer
COMB_APPEARANCE	Cible
COMB_ATTRIBUTE	Source
COMB_MAIN	Cible
COMB_MATERIAL	Source
COMB_SKILLBOOK_TILE	Echanger livres
COMB_TITLE	
COSTUME_TITLE	Costumes
COSTUME_WINDOW_TITLE	Costumes
CREATE_ATT_GRADE	STR
CREATE_CREATE	Creer
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
CREATE_LAST_POINT	Points
CREATE_MAN	Homme
CREATE_NAME	Nom
CREATE_NEXT	Suivant	
CREATE_PREV	Precedent
CREATE_SEX	Sexe
CREATE_SHAPE	Forme
CREATE_SP	INT
CREATE_STAT_RESET	Reinitialiser
CREATE_WOMAN	Femme
CUBE_INFO_TITLE	Manuel de raffinement
CUBE_REQUIRE_MATERIAL	Materiaux requis
CUBE_REQUIRE_MATERIAL_OR	ou
CUBE_TITLE	Fenetre de raffinement
CURRENT_POINT	Points actuel: %s
CZ_REWARD_WINDOW_TITLE	Temple du zodiac
DO_CHANGE_ATTR	Appliquer
DO_REFINE	Raffinement
DRAGONSOUL_ACTIVATE	Activer
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	Changer le bonus pour les pierres dragons
DRAGONSOUL_PAGE_BUTTON_1	Brut
DRAGONSOUL_PAGE_BUTTON_2	Taille
DRAGONSOUL_PAGE_BUTTON_3	Rare
DRAGONSOUL_PAGE_BUTTON_4	Antique
DRAGONSOUL_PAGE_BUTTON_5	Legendaire
DRAGONSOUL_PAGE_BUTTON_6	Mythique
DRAGONSOUL_REFINE_WINDOW_TITLE	Fenetre de raffinement
DRAGONSOUL_TAP_TITLE_1	Diamant Dragon
DRAGONSOUL_TAP_TITLE_2	Ruby Dragon
DRAGONSOUL_TAP_TITLE_3	Jade Dragon
DRAGONSOUL_TAP_TITLE_4	Sapphire Dragon
DRAGONSOUL_TAP_TITLE_5	Grenat Dragon
DRAGONSOUL_TAP_TITLE_6	Dragon Onyx
