PROFILE_SEARCH_CONTACT_TITLE	Oyuncu Ara
PROFILE_SEARCH_CONTACT_NAME	Ýsim:
PROFILE_CHANGE_SETTINGS	Profilinizi deðiþtirin.
PROFILE_NAME	Ýsim
PROFILE_LANGUAGE	Language
PROFILE_LEVEL	Level
PROFILE_GUILD	Lonca Ýsmi
PROFILE_STATUS	Statü
PROFILE_BIRTHDAY	Doðum Tarihi
PROFILE_LOCATION	Konum
PROFILE_CHANGE_STATUS	Statü Deðiþtir (Týkla)
ACCEPT	Tamam
ACCE_ABSORB	Bonus Emiþi
ACCE_COMBINE	Kombinasyon
ACCE_MAIN	Kuþak 1
ACCE_RESULT	Sonuç
ACCE_SERVE	Kuþak 2
ATTACH_METIN_INFO	Ruh Taþý'ný kullanmak istiyor musun ?
ATTACH_METIN_TITLE	Ruh Taþý kullan
ATTENDANCE_TITLE	Azrail Patron Etkinliði
ATTR_67_ADD	Bonus Ekle
ATTR_67_ADD_TITLE	Bonus Ekle
ATTR_67_MATERIAL_SLOT_TITLE	Güç Parçalarý
ATTR_67_REGIST_SLOT_TITLE	Hedef Item
ATTR_67_SUPPORT_SLOT_TITLE	Katký
AURA_MAIN	Aura Kýyafeti
AURA_SUB	Malzeme
AUTO_AUTO_ATTACK	Saldýrý
AUTO_AUTO_POSITION	Ýksirler
AUTO_AUTO_RANGE	Odak Noktasý
AUTO_AUTO_SKILL	Yetenekler
AUTO_CLEAR	Temizle
AUTO_END	Dur
AUTO_OFF	Kapalý
AUTO_ON	Açýk
AUTO_POSITION_SETTING	Ýksirler
AUTO_SAVE	Kaydet
AUTO_SETTING	Ayarlar
AUTO_SKILL_SETTING	Yetenekler
AUTO_START	Baþlat
AUTO_TITLE	Otomatik Avlanma
BANNER_ATTENDANCE_BUTTON	Azrail Patron Etkinliði
BANNER_CATCHKING_BUTTON	Kralý Yakala
BANNER_EASTER_BUTTON	PASKALYA
BANNER_FISH_BUTTON	BALIKÇILIK YAP
BANNER_FLOWER_BUTTON	ÇÝÇEK GÜCÜ
BANNER_FOOTBALL_BUTTON	FUTBOL
BANNER_HALLOWEEN_BUTTON	CADILAR BAYRAMI
BANNER_LUCKY_EVENT	CANAVAR PARTÝSÝ
BANNER_MINIBOSS_BUTTON	Zodyak Kýyameti
BANNER_MINI_GAME_FINDM	ÜÇ CANAVAR NOTU
BANNER_MONSTERBACK_BUTTON	Ýsabet Puanlarýný Kullan
