DUEL_BLOCK_CHANGE_ITEM	[x] Change Item
DUEL_BLOCK_BUFF	[x] Buff
DUEL_BLOCK_POTION_RED	[x] Potion Red
DUEL_BLOCK_HORSE_MOUNT	[x] Horse/Mount
DUEL_BLOCK_PET	[x] Pet
DUEL_BLOCK_POLY	[x] Poly
DUEL_BLOCK_PARTY	[x] Party
DUEL_BLOCK_EXCHANGE	[x] Exchange
DUEL_TARGET_NAME	Duel with:  
DUEL_MONEY_ADD	[i] Add
DUEL_MONEY_CANCEL	[i] Cancel
DUEL_MONEY_TITLE	[i] Bet with money
DUEL_MONEY_CURRENT	Actual money: 
DUEL_VICTIM_ERROR	<Warning> You can not do this, only than to accept or reject.
DUEL_MONEY_ERROR_1	<Warning> You can input only number.
DUEL_MONEY_ERROR_2	<Warning> The number entered is less than or equal to 0.
DUEL_MONEY_ERROR_3	<Warning> The amount introduced is less that the amount of inventory.
DUEL_TITLENAME	Manager viewing equipment in duel
DUEL_EQUIP_BLOCK	Block
DUEL_EQUIP_UNBLOCK	Unblock
DUEL_TITLENAME_EQUIP	Equipment opponent:
DUEL_CHOOSE_BLOCK	Choose what you want to block:
DUEL_INFO_1	Name char.:
DUEL_INFO_2	Name guild:
DUEL_INFO_3	Level:
DUEL_INFO_4	Play time:
DUEL_INFO_5	Bet winner:
DUEL_INFO_6	Details about opponent:
DUEL_LIVE_VICTIM_LEVEL	Level:
DUEL_LIVE_VICTIM_NAME	Name:
DUEL_MANAGER_TITLE	[PvP] Manager Equipment
AFF_LOVE_POINT	Ask noktalari: %d%%
ALIGNMENT_NAME	Derece puanlari:
ATTACK_ERROR_UNKNOWN	Bilinmeyen saldiri hatasi: %s
CANNOT_ATTACK_DEST_IN_SAFE	Düsman çok uzakta.
CANNOT_ATTACK_SELF_IN_SAFE	Buradan düsmana saldiramam.
CANNOT_EQUIP_IN_EXCHANGE	Ticaret yaparken ekipmani degistiremezsiniz.
CANNOT_EQUIP_IN_SHOP	Islem yaparken ekipmani degistiremezsiniz.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Halka açik bir yerde özel bir dükkan açamazsiniz.
